date,city,hour,day_of_week,month,is_weekend,is_peak,weather_score,temperature,humidity,vehicles_count,congestion_level,avg_speed,co2_emissions
2024-09-27,bangalore,0,4,9,0,0,0.714,25.672319940939087,44.84243972584441,13441,39,31.4,2198.7
2024-09-27,bangalore,1,4,9,0,0,0.663,35.731677168453565,42.891729220018306,12194,29,34.9,1983.08
2024-09-27,bangalore,2,4,9,0,0,0.729,36.607879984901466,51.941511614612644,14073,27,35.5,3225.77
2024-09-27,bangalore,3,4,9,0,0,0.786,28.965405995989737,61.689817714102574,10261,44,29.6,2114.32
2024-09-27,bangalore,4,4,9,0,0,0.949,37.237085437219285,72.10934695677409,13319,41,30.6,3118.51
2024-09-27,bangalore,5,4,9,0,0,0.908,36.34428672174856,39.5245491000653,11753,31,34.1,1781.26
2024-09-27,bangalore,6,4,9,0,0,0.688,18.99456348317312,78.94973772672117,10436,47,28.6,2087.43
2024-09-27,bangalore,7,4,9,0,1,0.984,20.156735659523477,88.2287295534633,30646,72,19.8,6233.12
2024-09-27,bangalore,8,4,9,0,1,0.914,32.19529225692601,72.21916566926039,31466,90,13.5,7301.3
2024-09-27,bangalore,9,4,9,0,1,0.567,21.342366392438578,66.72919927278849,41092,99,10.4,7403.73
2024-09-27,bangalore,10,4,9,0,0,0.736,36.44252561855296,51.977681099964485,12160,33,33.5,2505.85
2024-09-27,bangalore,11,4,9,0,0,0.593,31.13886696246809,60.91376495797767,15318,65,22.2,2625.18
2024-09-27,bangalore,12,4,9,0,0,0.529,20.977477891819845,84.52070414985894,12349,41,30.6,2531.5
2024-09-27,bangalore,13,4,9,0,0,0.886,24.898958062732703,40.51899501493796,10682,47,28.6,2151.25
2024-09-27,bangalore,14,4,9,0,0,0.693,15.733474521880002,35.285712430733895,13480,47,28.6,2488.78
2024-09-27,bangalore,15,4,9,0,0,0.99,28.83034118382109,40.53927946625081,12584,42,30.3,2971.03
2024-09-27,bangalore,16,4,9,0,0,0.673,23.666802222566076,73.43632451268988,13158,30,34.5,2714.75
2024-09-27,bangalore,17,4,9,0,1,0.958,21.95611284442575,67.96662254803964,37844,70,20.5,8801.29
2024-09-27,bangalore,18,4,9,0,1,0.686,21.56359043949592,89.71622405441957,28620,70,20.5,6917.18
2024-09-27,bangalore,19,4,9,0,1,0.513,23.892537208503775,53.07773086512134,36421,94,12.1,7084.42
2024-09-27,bangalore,20,4,9,0,0,0.994,15.066855386690381,61.94065702765788,10463,51,27.2,2381.66
2024-09-27,bangalore,21,4,9,0,0,0.517,26.61857757850381,42.00944684562915,10030,48,28.2,1853.69
2024-09-27,bangalore,22,4,9,0,0,0.533,34.18418112025883,85.89705277077283,13000,48,28.2,2455.55
2024-09-27,bangalore,23,4,9,0,0,0.928,37.30756679751276,70.28685460448963,14642,26,35.9,2850.53
2024-09-27,delhi,0,4,9,0,0,0.586,17.54877475015036,87.92034219541426,24233,51,27.2,4349.32
2024-09-27,delhi,1,4,9,0,0,0.732,39.520744971836066,72.11291393958851,26002,65,22.2,5893.5
2024-09-27,delhi,2,4,9,0,0,0.82,37.54686939249515,43.27385361802244,15607,32,33.8,2650.79
2024-09-27,delhi,3,4,9,0,0,0.912,32.347356710031605,40.31392122655838,19482,59,24.4,4639.31
2024-09-27,delhi,4,4,9,0,0,0.719,20.095451713093986,64.97304146915377,26209,66,21.9,5323.61
2024-09-27,delhi,5,4,9,0,0,0.556,20.800872343214298,31.758304781980286,17221,45,29.2,3103.42
2024-09-27,delhi,6,4,9,0,0,0.692,25.061116379698852,46.26184464761284,24413,36,32.4,4193.1
2024-09-27,delhi,7,4,9,0,0,0.974,24.41396949547135,50.660847742247775,16050,30,34.5,3073.68
2024-09-27,delhi,8,4,9,0,1,0.824,31.226483411744294,50.784265357395434,58270,84,15.6,11133.69
2024-09-27,delhi,9,4,9,0,1,0.533,22.74246288381694,51.33794757198582,69519,85,15.3,11191.12
2024-09-27,delhi,10,4,9,0,1,0.511,36.55536994413851,85.36940429033451,59698,86,14.9,9282.04
2024-09-27,delhi,11,4,9,0,0,0.516,24.53692770301975,79.6774884484755,21549,57,25.1,4040.36
2024-09-27,delhi,12,4,9,0,0,0.836,35.057354781251405,77.75625833869174,24814,45,29.2,3727.77
2024-09-27,delhi,13,4,9,0,0,0.941,17.199057585223038,42.639520412251485,15465,56,25.4,3430.6
2024-09-27,delhi,14,4,9,0,0,0.771,30.970131772890205,51.11158915245856,21990,64,22.6,4826.89
2024-09-27,delhi,15,4,9,0,0,0.843,34.23513348239951,73.41137188310438,23038,60,24.0,5603.75
2024-09-27,delhi,16,4,9,0,0,0.674,25.158784702110122,75.1317994944414,20966,33,33.5,4138.17
2024-09-27,delhi,17,4,9,0,1,0.799,34.64852955846155,66.66274890530472,60893,67,21.6,10298.16
